Category,Indicator,Scraped_At
Tiêu dùng,Trung bình,2025-12-16T00:08:19.761889
Tiêu dùng,"E/P VNINDEX - LÃI SUẤT HUY ĐỘNG 12 THÁNG
Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:19.761900
Tiêu dùng,"GIÁ TRỊ TỰ DOANH RÒNG
1D
1W
1M",2025-12-16T00:08:19.761907
Tiêu dùng,"1D
1W
1M",2025-12-16T00:08:19.761910
Tiêu dùng,"GIÁ TRỊ KHỐI NGOẠI RÒNG
1D
1W
1M",2025-12-16T00:08:19.761916
Tiêu dùng,"Ghi chú: gdp-thuc
Cá nhân
Thêm ghi chú bằng cách điền
vào ô bên dưới
Nhập ghi chú",2025-12-16T00:08:19.761928
Tiêu dùng,"Ghi chú: gdp-thuc
Cá nhân",2025-12-16T00:08:19.761933
Tiêu dùng,Ghi chú: gdp-thuc,2025-12-16T00:08:19.761937
Tiêu dùng,gdp-thuc,2025-12-16T00:08:19.761940
Tiêu dùng,Cá nhân,2025-12-16T00:08:19.761944
Tiêu dùng,"Thêm ghi chú bằng cách điền
vào ô bên dưới",2025-12-16T00:08:19.761951
Tiêu dùng,Nhập ghi chú,2025-12-16T00:08:19.761955
Tiêu dùng,"Thị trường
Ngành
Cổ phiếu",2025-12-16T00:08:19.761961
Tiêu dùng,Thị trường,2025-12-16T00:08:19.761965
Tiêu dùng,Ngành,2025-12-16T00:08:19.761968
Tiêu dùng,Cổ phiếu,2025-12-16T00:08:19.761972
Giá cả,"Thư viện
Sửa đồ thị",2025-12-16T00:08:23.857994
Giá cả,FDI dăng ký dự án,2025-12-16T00:08:23.858010
Giá cả,FDI thực hiện,2025-12-16T00:08:23.858018
Giá cả,"Mối quan hệ giữa vàng và lãi suất, bơm tiền",2025-12-16T00:08:23.858027
Giá cả,%HUY ĐỘNG,2025-12-16T00:08:23.858030
Giá cả,VĐT phát triển XH,2025-12-16T00:08:23.858035
Giá cả,BÁN LẺ,2025-12-16T00:08:23.858038
Giá cả,USD.VND 2025,2025-12-16T00:08:23.858041
Giá cả,Bóc tách CPI YOY,2025-12-16T00:08:23.858045
Giá cả,"​
​
Khung thời gian:
Quarterly
Kiểu giá trị:
Value",2025-12-16T00:08:23.858055
Giá cả,"Khung thời gian:
Quarterly",2025-12-16T00:08:23.858061
Giá cả,Khung thời gian:,2025-12-16T00:08:23.858065
Giá cả,Quarterly,2025-12-16T00:08:23.858068
Giá cả,"Kiểu giá trị:
Value",2025-12-16T00:08:23.858072
Giá cả,Kiểu giá trị:,2025-12-16T00:08:23.858076
Giá cả,Value,2025-12-16T00:08:23.858078
Giá cả,Q3-2025,2025-12-16T00:08:23.858082
Giá cả,Q2-2025,2025-12-16T00:08:23.858084
Giá cả,Q1-2025,2025-12-16T00:08:23.858087
Giá cả,Q4-2024,2025-12-16T00:08:23.858090
Giá cả,Q3-2024,2025-12-16T00:08:23.858092
Giá cả,Q2-2024,2025-12-16T00:08:23.858094
Giá cả,Q1-2024,2025-12-16T00:08:23.858097
Giá cả,Q4-2023,2025-12-16T00:08:23.858099
Giá cả,Q3-2023,2025-12-16T00:08:23.858101
Giá cả,Q2-2023,2025-12-16T00:08:23.858103
Giá cả,Q1-2023,2025-12-16T00:08:23.858106
Giá cả,Q4-2022,2025-12-16T00:08:23.858108
Giá cả,Q3-2022,2025-12-16T00:08:23.858110
Giá cả,Q2-2022,2025-12-16T00:08:23.858113
Giá cả,Q1-2022,2025-12-16T00:08:23.858115
Giá cả,GDP THỰC,2025-12-16T00:08:23.858118
Giá cả,"Nông nghiệp, lâm nghiệp và thủy sản",2025-12-16T00:08:23.858145
Giá cả,Nông nghiệp,2025-12-16T00:08:23.858168
Giá cả,Lâm nghiệp,2025-12-16T00:08:23.858190
Giá cả,Thủy sản,2025-12-16T00:08:23.858212
Giá cả,Công nghiệp và xây dựng,2025-12-16T00:08:23.858236
Giá cả,Dịch vụ,2025-12-16T00:08:23.858259
Giá cả,Thuế sản phẩm trừ trợ cấp sản phẩm,2025-12-16T00:08:23.858284
Giá cả,"Thông tin mới nhất
Tin quan trọng",2025-12-16T00:08:23.858308
Giá cả,Thông tin mới nhất,2025-12-16T00:08:23.858312
Giá cả,Tin quan trọng,2025-12-16T00:08:23.858316
Giá cả,"THỊ TRƯỜNG
ĐỊNH GIÁ
DÒNG TIỀN
QUỐC TẾ",2025-12-16T00:08:23.858322
Giá cả,"VNINDEX
Đóng cửa
1,646.01
-0.88
-0.05%",2025-12-16T00:08:23.858330
Giá cả,"VNINDEX
Đóng cửa",2025-12-16T00:08:23.858334
Giá cả,Đóng cửa,2025-12-16T00:08:23.858337
Giá cả,"1,646.01
-0.88
-0.05%",2025-12-16T00:08:23.858340
Giá cả,"Chart
Chart with 121 data points.",2025-12-16T00:08:23.858344
Giá cả,Chart with 121 data points.,2025-12-16T00:08:23.858347
Giá cả,End of interactive chart.,2025-12-16T00:08:23.858351
Giá cả,"PHÂN BỔ DÒNG TIỀN
0
3
6
9
12
Tăng giá:
126 CP
Giảm giá:
189 CP
Không đổi:
60 CP
6.45 Nghìn tỷ
7.34 Nghìn tỷ
2.13 Nghìn tỷ",2025-12-16T00:08:23.858365
Giá cả,PHÂN BỔ DÒNG TIỀN,2025-12-16T00:08:23.858369
Giá cả,"0
3
6
9
12
Tăng giá:
126 CP
Giảm giá:
189 CP
Không đổi:
60 CP
6.45 Nghìn tỷ
7.34 Nghìn tỷ
2.13 Nghìn tỷ",2025-12-16T00:08:23.858381
Giá cả,"Tăng giá:
126 CP",2025-12-16T00:08:23.858385
Giá cả,Tăng giá:,2025-12-16T00:08:23.858388
Giá cả,126 CP,2025-12-16T00:08:23.858391
Giá cả,"Giảm giá:
189 CP",2025-12-16T00:08:23.858395
Giá cả,Giảm giá:,2025-12-16T00:08:23.858398
Giá cả,189 CP,2025-12-16T00:08:23.858400
Giá cả,"Không đổi:
60 CP",2025-12-16T00:08:23.858404
Giá cả,Không đổi:,2025-12-16T00:08:23.858407
Giá cả,60 CP,2025-12-16T00:08:23.858410
Giá cả,6.45 Nghìn tỷ,2025-12-16T00:08:23.858414
Giá cả,7.34 Nghìn tỷ,2025-12-16T00:08:23.858419
Giá cả,2.13 Nghìn tỷ,2025-12-16T00:08:23.858424
Giá cả,TÁC ĐỘNG ĐẾN INDEX,2025-12-16T00:08:23.858429
Giá cả,"VPB
TCX
BSR
VNM
VRE
VPX
GEE
MCH
LPB
VHM
VIC
VPL
-4
-2
0
2
1.63
1.45
0.98
0.81
0.71
-0.49
-0.73
-0.84
-0.91
-1.42
-1.83
-2.29",2025-12-16T00:08:23.858434
Giá cả,"Tác động tăng
Tác động giảm",2025-12-16T00:08:23.858455
Giá cả,Tác động tăng,2025-12-16T00:08:23.858459
Giá cả,Tác động giảm,2025-12-16T00:08:23.858462
Giá cả,"1Y
2Y
3Y
5Y
10Y
All",2025-12-16T00:08:23.858465
Giá cả,"DIỄN BIẾN THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:23.858475
Giá cả,"Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:23.858478
Giá cả,"Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:23.858483
Giá cả,Vốn hoá,2025-12-16T00:08:23.858486
Giá cả,LNST,2025-12-16T00:08:23.858489
Giá cả,SLCP lưu hành,2025-12-16T00:08:23.858493
Giá cả,"PE THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Average: 14.18
P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:23.858503
Giá cả,"Q4/2024
Q2/2025
Q3/2025
Average: 14.18",2025-12-16T00:08:23.858506
Giá cả,Average: 14.18,2025-12-16T00:08:23.858509
Giá cả,"P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:23.858515
Giá cả,P/E thị trường,2025-12-16T00:08:23.858519
Giá cả,Trung bình,2025-12-16T00:08:23.858522
Giá cả,"E/P VNINDEX - LÃI SUẤT HUY ĐỘNG 12 THÁNG
Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:23.858531
Giá cả,"GIÁ TRỊ TỰ DOANH RÒNG
1D
1W
1M",2025-12-16T00:08:23.858537
Giá cả,"1D
1W
1M",2025-12-16T00:08:23.858539
Giá cả,"Chart
Chart with 0 data points.
End of interactive chart.",2025-12-16T00:08:23.858543
Giá cả,"Chart
Chart with 0 data points.",2025-12-16T00:08:23.858546
Giá cả,Chart with 0 data points.,2025-12-16T00:08:23.858548
Giá cả,"GIÁ TRỊ KHỐI NGOẠI RÒNG
1D
1W
1M",2025-12-16T00:08:23.858554
Giá cả,"Ghi chú: gdp-thuc
Cá nhân
Thêm ghi chú bằng cách điền
vào ô bên dưới
Nhập ghi chú",2025-12-16T00:08:23.858566
Giá cả,"Ghi chú: gdp-thuc
Cá nhân",2025-12-16T00:08:23.858571
Giá cả,Ghi chú: gdp-thuc,2025-12-16T00:08:23.858575
Giá cả,gdp-thuc,2025-12-16T00:08:23.858577
Giá cả,Cá nhân,2025-12-16T00:08:23.858581
Giá cả,"Thêm ghi chú bằng cách điền
vào ô bên dưới",2025-12-16T00:08:23.858587
Giá cả,Nhập ghi chú,2025-12-16T00:08:23.858591
Giá cả,"Thị trường
Ngành
Cổ phiếu",2025-12-16T00:08:23.858596
Giá cả,Thị trường,2025-12-16T00:08:23.858601
Giá cả,Ngành,2025-12-16T00:08:23.858604
Giá cả,Cổ phiếu,2025-12-16T00:08:23.858609
Thị trường hàng hoá,"Thư viện
Sửa đồ thị",2025-12-16T00:08:27.972958
Thị trường hàng hoá,FDI dăng ký dự án,2025-12-16T00:08:27.972974
Thị trường hàng hoá,FDI thực hiện,2025-12-16T00:08:27.972982
